Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-01-02 00:00:00-05:00,10702.2998046875,10702.2998046875,10568.599609375,10702.2998046875,7489,0.0,0.0,0.0
2018-01-03 00:00:00-05:00,10702.2998046875,10769.2001953125,10501.7001953125,10702.2998046875,35999,0.0,0.0,0.0
2018-01-04 00:00:00-05:00,10635.5,10769.2001953125,10635.5,10702.2998046875,21632,0.0,0.0,0.0
2018-01-05 00:00:00-05:00,10769.2001953125,10769.2001953125,10635.5,10769.2001953125,37793,0.0,0.0,0.0
2018-01-08 00:00:00-05:00,10869.599609375,10903.0,10702.2998046875,10702.2998046875,71894,0.0,0.0,0.0
2018-01-09 00:00:00-05:00,10702.2998046875,10936.5,10668.900390625,10903.0,77650,0.0,0.0,0.0
2018-01-10 00:00:00-05:00,11371.2001953125,11638.7998046875,11371.2001953125,11638.7998046875,386532,0.0,0.0,0.0
2018-01-11 00:00:00-05:00,12173.900390625,12173.900390625,11638.7998046875,11973.2001953125,302169,0.0,0.0,0.0
2018-01-12 00:00:00-05:00,12006.7001953125,12107.0,11839.5,11906.400390625,176544,0.0,0.0,0.0
2018-01-16 00:00:00-05:00,11438.099609375,11505.0,11237.5,11505.0,73195,0.0,0.0,0.0
2018-01-17 00:00:00-05:00,11505.0,11505.0,11505.0,11505.0,0,0.0,0.0,0.0
2018-01-18 00:00:00-05:00,11438.099609375,12107.0,11304.2998046875,12040.099609375,290927,0.0,0.0,0.0
2018-01-19 00:00:00-05:00,12040.099609375,12575.2998046875,12040.099609375,12040.099609375,296488,0.0,0.0,0.0
2018-01-22 00:00:00-05:00,12040.099609375,12040.099609375,12040.099609375,12040.099609375,0,0.0,0.0,0.0
2018-01-23 00:00:00-05:00,12040.099609375,12040.099609375,12040.099609375,12040.099609375,0,0.0,0.0,0.0
2018-01-24 00:00:00-05:00,12040.099609375,12040.099609375,12040.099609375,12040.099609375,0,0.0,0.0,0.0
2018-01-25 00:00:00-05:00,12173.900390625,12173.900390625,11705.7001953125,12107.0,342130,0.0,0.0,0.0
2018-01-26 00:00:00-05:00,12508.400390625,12709.0,12240.7998046875,12709.0,278443,0.0,0.0,0.0
2018-01-29 00:00:00-05:00,12709.0,13311.0,12709.0,13177.2998046875,264794,0.0,0.0,0.0
